dia phuong,Một số cây lâu năm,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,Cây ăn quả:,,,,,,,,,,,,,,,,,
geoId-VNM,Nho,1.8,1.3,1.2,1.0,0.8,0.7,0.8,0.8,0.9,1.1,1.3,1.2,1.3,1.2,1.2,,
geoId-VNM,Chuối,,,,,102.9,106.5,108.5,112.4,114.4,118.1,120.5,125.4,129.2,133.6,136.6,138.9,143.8
geoId-VNM,Xoài,51.4,60.8,67.0,68.8,71.2,71.8,73.6,74.2,73.6,73.3,74.6,76.8,79.1,80.2,85.2,88.5,91.6
geoId-VNM,Cam. quýt,59.4,65.2,63.9,64.5,64.1,55.8,55.6,56.6,59.0,58.4,65.1,71.7,77.3,88.2,91.3,91.8,90.3
geoId-VNM,Nhãn,90.3,87.8,85.4,83.5,83.1,79.7,74.6,72.1,67.7,64.6,63.9,63.7,63.8,65.5,66.6,67.2,68.5
geoId-VNM,Vải,89.3,102.8,100.1,96.6,96.9,73.4,67.7,66.0,63.2,62.7,60.3,57.8,56.3,53.2,52.2,51.5,51.6
geoId-VNM,Chôm chôm,,,,,0.0,22.2,22.7,22.7,21.9,22.7,22.9,22.6,22.3,21.9,21.2,20.0,19.9
geoId-VNM,Bưởi,,,,,36.0,36.6,37.4,37.7,38.0,39.5,42.2,47.2,52.5,65.9,72.6,80.5,87.9
geoId-VNM,Cây công nghiệp lâu năm:,,,,,,,,,,,,,,,,,
geoId-VNM,Điều,223.7,302.8,321.1,340.5,339.4,332.9,320.7,300.9,288.3,280.3,281.0,283.8,283.7,276.4,280.9,294.9,304.0
geoId-VNM,Cao su,334.2,377.8,399.1,418.9,439.1,460.0,510.0,548.1,570.0,604.3,621.4,653.2,685.5,710.7,728.8,752.4,727.9
geoId-VNM,Cà phê,483.6,488.9,500.2,507.2,511.9,543.9,572.6,581.3,589.8,593.8,597.6,617.1,618.9,622.6,637.6,648.5,655.9
geoId-VNM,Chè,97.7,107.4,108.8,111.4,113.2,114.2,114.5,114.8,115.4,117.8,118.7,109.3,108.3,107.9,109.6,111.2,112.2
geoId-VNM,Hồ tiêu,39.4,41.1,42.4,44.2,44.3,45.0,48.2,50.9,58.4,67.8,81.8,93.5,107.5,111.1,112.9,112.1,107.8
